Departamento;Municipio;Solicitante;Solicitud;Estado Solicitud;Fecha Radicado;Latitud;Longitud;Direccion;Tipo Equipo;Estado Ubicacion
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000222;Aprobada;7/05/2018 0:00;10.985.675;-74.810.864;Calle 72 # 38-79;Radar doppler;Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000345;Aprobada;7/11/2018 0:00;10.993.316;-74.944.673;Via al mar - km 97+130;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000232;Aprobada;06/29/2018 12:00:00 AM;1.101.113;-7.481.144;Calle 84 # 59-34;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000321;Aprobada;07/16/2018 12:00:00 AM;41.159.416;-73.628.172;CALLE 1 CARRERA 32;Laser (Lidar) / Infrarrojo;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000203;Aprobada;06/29/2018 12:00:00 AM;1.098.087;-748.004;Calle 61 entre carreras 34 y 35;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000255;Aprobada;7/06/2018 0:00;1.098.383;-747.775;Calle 34 con carrera 45;Video Detección (Con analítica de video);Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000342;Aprobada;7/11/2018 0:00;11.015.423;-74.867.812;Via al mar - km 106;Radar doppler;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.093.953;-765.178.873;CARRERA 46 CON CALLE 36;Lazo Inductivo de piso (espiras);Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000351;Aprobada;07/16/2018 12:00:00 AM;41.440.444;-736.042.916;CALLE 35 CARRERA 3;Laser (Lidar) / Infrarrojo;Aprobada
BOLIVAR;ARJONA;SECRETARIA MUNICIPAL DE TRANSPORTE Y TRANSITO DE ARJONA;SOL0000000367;Aprobada;07/18/2018 12:00:00 AM;10.248.456;-75.347.295;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;YUMBO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YUMBO;SOL0000001363;Aprobada;12/17/2018 12:00:00 AM;352.985;-76.495.667;SIN DIRECCION;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;621.919;-75.599.256;Avenida 80 por Carrera 76;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.614;-755.564;Calle 67 por Carrera 45;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.412;-755.696;Carrera 46 por Calle 41;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.384;-755.734;Calle 37 por Carrera 51;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.19;-755.826;Carrera 49 por Calle 17 A Sur;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.069;-755.861;Carrera 52 por Calle 2 Sur;Lazo Inductivo de piso (espiras);Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;110.219.464;-742.095.139;RUTA 9007 KM 66 + 890;Radar doppler;Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000346;Aprobada;7/11/2018 0:00;10.990.537;-74.944.119;Via al mar - km 97;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000355;Aprobada;07/17/2018 12:00:00 AM;41.393.667;-73.630.375;CARRERA 33 CALLE 24;Laser (Lidar) / Infrarrojo;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000350;Aprobada;07/17/2018 12:00:00 AM;41.443.306;-736.365.028;CARRERA 36 CALLE 33;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;623.921;-7.557.325;Calle 38 por Carrera 52;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.459;-75.573;Calle 44 por Carrera 53;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.311;-755.699;Carrera 43A por Calle 31;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.220.488;-75.576.676;Avenida Regional por Calle 18;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;620.218;-7.558.008;Autopista Sur por Calle 4 Sur;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.213.157;-75.576.821;Calle 10 por Carrera 48;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.531;-755.623;Carrera 46 por Calle 57;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;61.887;-75.583;Avenida Regional por Calle 17A Sur;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.224;-755.796;Avenida Guayabal por Calle 20;Laser (Lidar) / Infrarrojo;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000353;Aprobada;07/17/2018 12:00:00 AM;41.184.194;-736.208.528;CALLE 1 CARRERA 26A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.433;-756.025;Avenida 80 por Calle 35;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;61.965;-755.853;Avenida 80 por Calle 12 Sur;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.315;-755.873;Calle 30 por Carrera 66B;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.458;-75.573;Calle 44 por Carrera 53;Lazo Inductivo de piso (espiras);Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;11.006.559;-74.255.791;RUTA 9007 KM 60 + 500;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.493;-755.888;Calle 44 por Carrera 70;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.256;-755.811;Calle 50 por Carrera 65;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.579;-755.721;Calle 57B por Carrera 57;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.356.575;-765.281.992;CALLE 13 CON CARRERA 23;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.428.313;-765.309.674;CALLE 18 CON CARRERA 122;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.981.553;-765.468.447;CARRERA 66 CON CALLE 5;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.855.963;-765.444.215;CALLE 5 CON CARRERA 80;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.224.253;-76.538.248;CALLE 9 CON CARRERA 38;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.274.078;-7.653.311;CALLE 18 CON CARRERA 130;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.891.759;-765.055.641;CALLE 70 AVENIDA 2AN;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.748.252;-765.251.546;CALLE 25 CON CARRERA 95;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.933.259;-76.532.425;CALLE 14 CON CARRERA 70;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.152.051;-76.537.151;CALLE 10 CON CARRERA 44A;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.502.579;-764.875.828;CALLE 70 CON CARRERA 9;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.358.454;-765.178.694;CARRERA 23 CON TRANSVERSAL 25E;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.703.348;-765.371.272;CALLE 13 CON CARRERA 100;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.560.002;-765.223.654;CARRERA 5 CON CALLE 23;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.314.865;-765.376.072;CALLE 7 CON CARRERA 29;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.307.345;-765.229.133;CALLE 36 CON CARRERA 128;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;3.476.221;-765.182.469;AVENIDA 3N CON CALLE 40;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.245.184;-75.583.918;Avenida Bolivariana por Carrera 65;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.839.147;-765.141.141;CALLE 52 AVENIDA 3N;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.427.762;-76.531.974;CALLE 10 CON CARRERA 15;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.149.691;-765.371.256;CALLE 10 CON CARRERA 45;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.905.044;-765.240.686;CALLE 25 CON CARRERA 73;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.802.098;-765.377.124;CALLE 13 CON CARRERA86;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.231;-75.592;Carrera 70 por Calle 19;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.846.512;-765.260.089;AVENIDA 6N CON CALLE 47;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.678.576;-765.293.658;AVENIDA 6N CON CALLE 26;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.806.964;-764.894.095;CALLE 70 CON CARRERA 1A-12;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.093.168;-76.534.435;CALLE 13 CON CARRERA 50;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.276.587;-75.573.367;Carrera 65 por Calle 80;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.984.059;-765.378.339;CALLE 13 CON CARRERA 66;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.359.883;-765.200.453;CALLE 23 CON CARRERA 23;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.792.551;-76.488.393;CALLE 70 CON CARRERA 1B;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.525.322;-76.537.772;AVENIDA 2 CON CALLE 6;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.320.396;-7.653.883;CALLE 6 CON CARRERA 29;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.873.908;-76.532.488;CALLE 14 CON CARRERA 80;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.552.027;-76.484.845;CALLE 70 CON CARRERA 7MBIS;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.239.238;-75.589.314;Avenida 33 por Carrera 66B;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.279.144;-75.644.991;Km 7 +300 Vía Tunel de Occidente O-E;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.693;-755.953;Avenida 80 por Calle 55;Lazo Inductivo de piso (espiras);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000236;Aprobada;07/26/2018 12:00:00 AM;1.097.787;-7.483.612;Calle 110 # 31 - 15;Radar doppler;Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.675.763;-74.052.516;AK 15 X AC 92;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.760.406;-74.066.093;AV BOYACA X AV SAN JOSE;Semi-automática (Acción remota);Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000423;Aprobada;8/02/2018 0:00;413.706;-73.621.715;CARRERA 19 CALLE 21;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.264.378;-75.578.181;Carrera 65 por Calle 59A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;BELLO;SECRETARIA DE TRANSPORTES Y TRANSITO DE BELLO;SOL0000000382;Aprobada;08/29/2018 12:00:00 AM;6.325.391;-75.557.602;Carrera 50 Calle 38;Lazo Inductivo de piso (espiras);Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;110.707.153;-742.125.469;RUTA 9007 KM 72 + 700;Radar doppler;Aprobada
MAGDALENA;SITIONUEVO;TRANSITO Y TRANSPORTE MAGDALENA;SOL0000000641;Aprobada;08/17/2018 12:00:00 AM;1.098.753;-74.710.505;Troncal Del Caribe - PR 8;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000422;Aprobada;8/02/2018 0:00;4.130.386;-73.623.706;CARRERA 22 CALLE 8C;Laser (Lidar) / Infrarrojo;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001481;Aprobada;12/21/2018 12:00:00 AM;790.063;-7.250.076;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.628.735;-76.521.979;CALLE 25 CON AVENIDA 2;Lazo Inductivo de piso (espiras);Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000421;Aprobada;8/02/2018 0:00;4.147.472;-73.618.595;CALLE 35 CARRERA 18;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;3.486.059;-764.956.798;CALLE 70 CON CARRERA 1;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.108.353;-765.417.392;CALLE 9 CON CARRERA 50;Lazo Inductivo de piso (espiras);Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000422;Aprobada;8/02/2018 0:00;4.130.386;-73.623.706;CARRERA 22 CALLE 8C;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;621.286;-75.596.122;Avenida 80 por Calle 2A;Laser (Lidar) / Infrarrojo;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001821;Aprobada;3/05/2019 0:00;788.329;-7.250.744;SIN DIRECCION;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000423;Aprobada;8/02/2018 0:00;413.706;-73.621.715;CARRERA 19 CALLE 21;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.195.575;-75.566.031;Carrera 32 por Calle 5 Sur;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.196.922;-75.578.398;Carrera 48 por Calle 10 Sur;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.231.349;-75.574.606;Avenida Industriales por Calle 29;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.277.143;-755.700.086;Avenida del Rio por Calle 77;Laser (Lidar) / Infrarrojo;Aprobada
