Departamento;Municipio;Solicitante;Solicitud;Estado Solicitud;Fecha Radicado;Latitud;Longitud;Direccion;Tipo Equipo;Estado Ubicacion
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.231.114;-75.596.248;Carrera 76 por Calle 30;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.773;-755.894;Avenida 80 por Calle 76;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.387;-755.902;Diagonal 74B por Calle 32F;Lazo Inductivo de piso (espiras);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000226;Aprobada;06/29/2018 12:00:00 AM;110.032;-7.481.055;Carrera 51B # 79-192;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.791;-756.449;Km 7 +300 Vía Tunel de Occidente E-O;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.767;-756.061;Km 4 +100 Vía Tunel de Occidente O-E;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.249.763;-7.558.005;Autopista Sur por Calle 44A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.292.095;-75.568.481;Carrera 64C por Calle 97A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.074;-755.892;Avenida 80 por Carrera 65;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;SABANETA;SECRETARIA DE TRANSITO Y TRANSPORTE MUNICIPAL DE SABANETA;SOL0000000621;Aprobada;08/28/2018 12:00:00 AM;6.158.101;-75.609.045;AVENIDA LAS VEGAS CARRERA 48 CON CALLE 60 SUR (INTERSECCIóN SENTIDO NORTE - SUR).;Lazo Inductivo de piso (espiras);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;47.298;-7.406.864;AV BOYACA X AC 138;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.640.483;-74.066.464;AV CARACAS X CL 53;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.604.657;-74.095.158;KR 27 X AC 6;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.599.114;-74.078.412;KR 10 X CL 10;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;45.984.922;-741.069.537;AV QUITO X CL 8 SUR;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;45.971.725;-741.775.094;AUTOPISTA SUR X CL 59 SUR;Semi-automática (Acción remota);Aprobada
